Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,State
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8816,11238,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13312,15697,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1579,1779,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2655,2819,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3057,4073,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5075,7347,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1663,2012,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2229,2229,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,631,689,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),848,848,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11424,12002,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),17221,17221,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1857,1857,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4157,4304,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),7932,7932,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2038,2038,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M. Tech. in Structural Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),2981,2981,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11501,12492,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),17239,17239,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1899,1899,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4363,4438,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),8216,8216,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,1501,1501,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),3177,3177,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech in Transportation Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,798,798,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,11146,12734,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),17709,17709,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,1876,1876,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,4545,4567,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),7835,7835,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,2074,2074,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Female-only (including Supernumerary),3401,3401,Odisha
Indian Institute of Technology Bhubaneswar,"Civil Engineering and M.Tech. in Environmental Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,844,844,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1319,2251,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2906,3960,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,66,66,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,249,282,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),731,731,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,534,848,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1469,2255,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,50,50,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,367,610,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),481,599,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,151,293,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),534,737,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,2278,3133,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),5250,5250,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,335,335,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,1008,1016,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),2759,2759,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,754,767,Odisha
Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,401,401,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,4324,6746,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),10190,10190,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,999,999,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Female-only (including Supernumerary),1722,1722,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,2575,2784,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,1482,1482,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,706,706,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4111,5319,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8150,9092,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,599,771,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1372,1372,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1500,2349,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4009,4399,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,885,1302,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1992,2184,Odisha
Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,352,688,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3233,4109,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5957,6628,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,425,604,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1083,1083,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1128,1582,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1936,3085,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,541,892,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),970,1428,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,328,589,Odisha
Indian Institute of Technology Bhubaneswar,"Electronics and Communication Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),768,768,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5684,7652,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),10041,13714,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,969,1338,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2370,2370,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2322,2937,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4479,6273,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1487,1707,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2312,2487,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,727,812,Odisha
Indian Institute of Technology Bhubaneswar,"Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,7946,8774,Odisha
